Date,ID,Name,Meal,Calories,Fats,Protein,Sugar
18-04-2024,167513,Pillsbury Cinnamon Rolls With Icing Refrigerated Dough,Breakfast,330,11.27,4.34,21.34
19-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Lunch,307,13.24,5.88,5.88
20-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Lunch,307,13.24,5.88,5.88
21-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Snack 1,307,13.24,5.88,5.88
22-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Lunch,307,13.24,5.88,5.88
23-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Snack 1,307,13.24,5.88,5.88
24-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Snack 2,307,13.24,5.88,5.88
25-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Lunch,307,13.24,5.88,5.88
26-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Snack 1,307,13.24,5.88,5.88
26-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Snack 2,307,13.24,5.88,5.88
26-04-2024,167514,Kraft Foods Shake N Bake Original Recipe Coating For Pork Dry,Dinner,377,3.7,6.1,NULL
26-04-2024,167513,Pillsbury Cinnamon Rolls With Icing Refrigerated Dough,Breakfast,330,11.27,4.34,21.34
26-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Snack 1,307,13.24,5.88,5.88
26-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Lunch,307,13.24,5.88,5.88
26-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Lunch,307,13.24,5.88,5.88
26-04-2024,167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Snack 1,307,13.24,5.88,5.88
26-04-2024,167513,Pillsbury Cinnamon Rolls With Icing Refrigerated Dough,Snack 1,330,11.27,4.34,21.34
26-04-2024,167513,Pillsbury Cinnamon Rolls With Icing Refrigerated Dough,Snack 1,330,11.27,4.34,21.34
26-04-2024,167514,Kraft Foods Shake N Bake Original Recipe Coating For Pork Dry,Breakfast,377,3.7,6.1,NULL
29-04-2024,167667,Restaurant Chinese Egg Rolls Assorted,Breakfast,250,11.94,8.28,NULL
29-04-2024,167667,Restaurant Chinese Egg Rolls Assorted,Breakfast,250,11.94,8.28,NULL
29-04-2024,167553,Snacks Potato Chips Made From Dried Potatoes Reduced Fat,Snack 1,502,26.14,4.56,0.63
29-04-2024,167667,Restaurant Chinese Egg Rolls Assorted,Breakfast,250,11.94,8.28,NULL
29-04-2024,167553,Snacks Potato Chips Made From Dried Potatoes Reduced Fat,Snack 1,502,26.14,4.56,0.63
29-04-2024,167644,Caribou Rump Meat Half Dried (Alaska Native),Dinner,255,5.23,52.06,0
2024-05-01,167512,"Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough","Breakfast",307,13.24,5.88,"5.88"
2024-05-01,167512,"Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough","Breakfast",307,13.24,5.88,"5.88"
2024-05-01,167518,"Waffle Buttermilk Frozen Ready-To-Heat Microwaved","Lunch",289,9.4,6.92,"4.5"
2024-05-01,167512,"Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough","Breakfast",307,13.24,5.88,"5.88"
2024-05-01,167518,"Waffle Buttermilk Frozen Ready-To-Heat Microwaved","Lunch",289,9.4,6.92,"4.5"
2024-05-01,167527,"Bread Pound Cake Type Pan De Torta Salvadoran","Snack 2",390,17.45,7.06,"18.1"
